XL2 Sound Level Meter RTA Reporting:		CHH2016\SPL_SLM_008_RTA_3rd_Report.txt
------------------------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-02094-C0, FW3.02
	Mic Type:       	NTi Audio M2210, SNo. 1368, User calibrated 2015-12-16  12:34
	Mic Sensitivity:	21,4 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Append mode:    	OFF
	Timer mode:     	single
	Timer set:      	00:00:30
	Resolution:     	1/3 Octave
	Range:          	10 - 110 dB

# Time
	Start:          	2016-04-13, 12:12:46
	End:            	2016-04-13, 12:13:16

# RTA Results
	Band [Hz]	6,3     	8,0     	10,0    	12,5    	16,0    	20,0    	25,0    	31,5    	40,0    	50,0    	63,0    	80,0    	100,0   	125,0   	160,0   	200,0   	250,0   	315,0   	400,0   	500,0   	630,0   	800,0   	1000,0  	1250,0  	1600,0  	2000,0  	2500,0  	3150,0  	4000,0  	5000,0  	6300,0  	8000,0  	10000,0 	12500,0 	16000,0 	20000,0 
	         	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    	[dB]    
	LASmax   	-22,9   	-26,7   	-23,3   	-16,9   	-7,6    	-10,5   	6,9     	6,0     	13,8    	44,6    	23,5    	38,0    	54,4    	53,4    	49,3    	56,2    	59,1    	62,6    	65,2    	65,2    	60,3    	64,8    	65,4    	62,8    	64,1    	64,0    	61,7    	63,1    	61,6    	60,8    	57,0    	54,2    	49,9    	41,9    	36,1    	29,6    
	LASmin   	-52,3   	-46,8   	-40,4   	-24,9   	-17,8   	-17,5   	0,6     	-0,4    	8,5     	41,8    	17,7    	31,8    	52,9    	46,9    	46,2    	52,1    	56,0    	58,7    	62,9    	61,8    	57,9    	61,4    	62,9    	59,7    	62,0    	62,1    	59,1    	60,1    	59,0    	58,8    	54,1    	51,0    	46,1    	39,6    	33,4    	25,7    
	LAeq     	-38,1   	-37,1   	-32,7   	-20,1   	-13,0   	-13,6   	4,0     	2,8     	11,8    	43,3    	21,1    	35,0    	53,9    	49,4    	47,2    	53,9    	57,6    	60,7    	64,1    	63,7    	58,9    	62,5    	64,0    	60,9    	63,0    	63,1    	60,2    	61,2    	60,1    	59,6    	55,5    	52,8    	47,8    	40,5    	34,6    	27,8    
	L_Capt   	54,0    	57,3    	55,7    	54,0    	53,2    	50,9    	49,3    	52,1    	51,1    	52,1    	55,0    	52,4    	64,5    	64,3    	60,8    	63,8    	61,2    	59,6    	56,4    	54,4    	59,1    	57,7    	52,4    	49,8    	46,5    	42,3    	43,5    	45,4    	40,9    	33,6    	38,3    	38,4    	37,4    	32,6    	30,0    	28,6    
	LAE      	-23,2   	-22,2   	-17,8   	-5,3    	1,9     	1,2     	18,9    	17,7    	26,6    	58,1    	36,0    	49,9    	68,7    	64,2    	62,0    	68,8    	72,4    	75,5    	78,9    	78,5    	73,8    	77,3    	78,9    	75,7    	77,9    	78,0    	75,1    	76,0    	75,0    	74,5    	70,3    	67,6    	62,7    	55,4    	49,5    	42,6    
	LAS1,0%  	-,-     	-,-     	-,-     	-17,7   	-8,7    	-11,7   	6,3     	5,3     	13,3    	44,3    	23,3    	36,3    	54,3    	52,3    	48,3    	55,3    	58,3    	62,3    	64,3    	64,3    	59,3    	64,3    	65,3    	62,3    	63,3    	63,3    	61,3    	62,3    	61,3    	60,3    	56,3    	53,3    	49,3    	41,3    	35,3    	29,3    
	LAS5,0%  	-,-     	-,-     	-,-     	-17,7   	-10,7   	-11,7   	5,3     	4,3     	12,3    	44,3    	22,3    	36,3    	53,3    	51,3    	48,3    	55,3    	58,3    	61,3    	64,3    	64,3    	59,3    	63,3    	64,3    	61,3    	63,3    	63,3    	60,3    	62,3    	60,3    	59,3    	56,3    	53,3    	48,3    	41,3    	35,3    	28,3    
	LAS10,0% 	-,-     	-,-     	-,-     	-18,7   	-11,7   	-11,7   	5,3     	4,3     	12,3    	44,3    	22,3    	35,3    	53,3    	50,3    	47,3    	55,3    	58,3    	61,3    	64,3    	64,3    	59,3    	63,3    	64,3    	61,3    	63,3    	63,3    	60,3    	61,3    	60,3    	59,3    	55,3    	53,3    	48,3    	40,3    	35,3    	28,3    
	LAS50,0% 	-,-     	-,-     	-,-     	-20,7   	-13,7   	-14,7   	3,3     	2,3     	11,3    	43,3    	20,3    	34,3    	53,3    	48,3    	46,3    	53,3    	57,3    	60,3    	63,3    	63,3    	58,3    	62,3    	63,3    	60,3    	62,3    	62,3    	59,3    	60,3    	59,3    	59,3    	55,3    	52,3    	47,3    	40,3    	34,3    	27,3    
	LAS90,0% 	-,-     	-,-     	-,-     	-,-     	-16,7   	-16,7   	1,3     	0,3     	9,3     	41,3    	19,3    	33,3    	53,3    	47,3    	46,3    	52,3    	56,3    	59,3    	63,3    	62,3    	58,3    	61,3    	63,3    	59,3    	62,3    	62,3    	59,3    	60,3    	59,3    	58,3    	54,3    	51,3    	46,3    	39,3    	33,3    	26,3    
	LAS95,0% 	-,-     	-,-     	-,-     	-,-     	-17,7   	-16,7   	1,3     	0,3     	9,3     	41,3    	18,3    	32,3    	53,3    	47,3    	46,3    	52,3    	56,3    	59,3    	63,3    	61,3    	57,3    	61,3    	63,3    	59,3    	62,3    	62,3    	59,3    	60,3    	59,3    	58,3    	54,3    	51,3    	46,3    	39,3    	33,3    	26,3    
	LAS99,0% 	-,-     	-,-     	-,-     	-,-     	-17,7   	-17,7   	0,3     	-0,7    	8,3     	41,3    	17,3    	31,3    	52,3    	47,3    	46,3    	51,3    	55,3    	58,3    	62,3    	61,3    	57,3    	61,3    	62,3    	59,3    	61,3    	61,3    	58,3    	59,3    	58,3    	58,3    	53,3    	50,3    	45,3    	39,3    	33,3    	25,3    

